user_id,event_id
U1,E1
U1,E3
U1,E7
U1,E12
U1,E18
U1,E21
U1,E34
U1,E45
U2,E2
U2,E5
U2,E9
U2,E14
U2,E22
U2,E28
U3,E3
U3,E6
U3,E11
U3,E20
U3,E24
U3,E31
U3,E40
U4,E4
U4,E10
U4,E15
U4,E22
U4,E27
U4,E39
U5,E1
U5,E6
U5,E11
U5,E19
U5,E25
U5,E33
U5,E50
U6,E8
U6,E13
U6,E16
U6,E23
U6,E29
U6,E37
U7,E2
U7,E6
U7,E17
U7,E20
U7,E24
U7,E35
U7,E48
U8,E7
U8,E12
U8,E18
U8,E25
U8,E30
U8,E44
U9,E3
U9,E6
U9,E11
U9,E21
U9,E26
U9,E38
U10,E2
U10,E9
U10,E14
U10,E17
U10,E24
U10,E32
U10,E46
U11,E1
U11,E6
U11,E19
U11,E21
U11,E28
U11,E41
U12,E8
U12,E13
U12,E23
U12,E29
U12,E36
U12,E47
U13,E5
U13,E9
U13,E14
U13,E22
U13,E31
U13,E43
U14,E4
U14,E10
U14,E15
U14,E20
U14,E27
U14,E49
U15,E3
U15,E6
U15,E11
U15,E19
U15,E33
U15,E50
U16,E8
U16,E13
U16,E16
U16,E22
U16,E37
U16,E45
U17,E3
U17,E12
U17,E18
U17,E21
U17,E24
U17,E34
U17,E50
U18,E4
U18,E10
U18,E14
U18,E15
U18,E22
U18,E39
U19,E1
U19,E6
U19,E19
U19,E21
U19,E41
U19,E48
U20,E2
U20,E9
U20,E14
U20,E17
U20,E32
U20,E46
U21,E6
U21,E11
U21,E21
U21,E25
U21,E38
U21,E44
U22,E7
U22,E12
U22,E18
U22,E25
U22,E30
U22,E50
U23,E3
U23,E6
U23,E20
U23,E24
U23,E35
U23,E40
U24,E8
U24,E13
U24,E16
U24,E23
U24,E36
U24,E47
U25,E3
U25,E6
U25,E19
U25,E21
U25,E33
U25,E45
U26,E2
U26,E9
U26,E16
U26,E23
U26,E29
U26,E37
U27,E7
U27,E12
U27,E18
U27,E25
U27,E44
U27,E50
U28,E4
U28,E10
U28,E14
U28,E22
U28,E39
U28,E49
U29,E2
U29,E6
U29,E17
U29,E20
U29,E24
U29,E35
U29,E48
U30,E7
U30,E11
U30,E12
U30,E18
U30,E25
U30,E30
U30,E44
